Date,ID,PM25FM,PM25atm,b1um,b2.5um,b5um,b10um,TempC,RH
2019-05-17,AK1,6.7,8.25768791658077,52.0357235621521,4.65914192949907,1.8006586270872,0.815686456400742,18.0272633744856,38.5648148148148
2019-05-18,AK1,3.8,3.35900488421461,21.9333880037488,1.70092314901593,0.721410496719775,0.492371134020619,16.1152803835731,49.4043151969981
2019-05-21,AK1,4.0,3.79960099292242,25.5890723562152,2.1885667903525,0.906762523191095,0.550760667903525,19.897633744856,29.9722222222222
2019-05-22,AK1,4.7,4.36969101036657,27.1784090909091,2.23467996289425,0.906924860853432,0.581989795918367,21.3783338482134,32.4745134383689
2019-05-19,AK1,3.2,3.19107078838998,24.984939309057,2.14439309056956,0.882549019607843,0.541797385620915,18.4438219732337,43.8982259570495
2019-05-20,AK1,4.2,3.27136574074074,21.4952361111111,1.86272222222222,0.806134259259259,0.535810185185185,18.2772633744856,38.4796296296296
2019-05-25,AK1,4.0,5.05790990457557,31.4282053614375,2.38827409297052,0.905214895554181,0.520829373668659,21.7155802697971,35.9759036144578
2019-05-26,AK1,17.6,25.9981666666667,210.165944444444,16.4036064814815,4.74634722222222,1.48514814814815,22.8683127572016,32.2351851851852
2019-05-23,AK1,4.5,4.82944444444444,28.8624212962963,2.32714814814815,0.969763888888889,0.549699074074074,17.6599794238683,43.9907407407407
2019-05-24,AK1,2.7,2.69641203703704,18.3300555555556,1.43134722222222,0.654472222222222,0.454037037037037,17.341049382716,50.1222222222222
2019-05-16,AK1,2.9,0.990935845374212,9.95157024597633,1.12674464214655,0.674485687412468,0.515892833456502,20.5704870765112,20.6960148285449
2019-05-31,AK1,12.5,15.8239587760005,120.190572327044,10.0581698113208,3.17633962264151,1.07592452830189,19.2436916213579,45.4843161856964
2019-06-01,AK1,1.5,0.998847222222222,8.21240277777778,0.615833333333333,0.212201388888889,0.2854375,14.8341049382716,70.4513888888889
2019-06-02,AK1,4.4,2.92713788300836,20.4341857307232,1.38189321093596,0.419329461764056,0.133751438278947,17.3839368616527,56.2827298050139
2019-06-03,AK1,2.5,1.23522916666667,10.8829027777778,0.964180555555556,0.560291666666667,0.262402777777778,20.2307098765432,34.0222222222222
2019-06-04,AK1,2.9,2.20475,15.8776527777778,1.34455555555556,0.469083333333333,0.162597222222222,20.8842592592593,26.6166666666667
2019-06-05,AK1,3.2,2.61585320450486,17.8521635686364,1.59644110707769,0.575176554794069,0.209477338147613,19.4915778086849,34.9415855354659
2019-06-06,AK1,3.2,2.530875,16.8047638888889,1.32156944444444,0.457777777777778,0.156027777777778,20.016975308642,41.4277777777778
2019-06-07,AK1,3.1,2.78462447844228,18.278918173389,1.60150684785968,0.500055574872508,0.17342099366404,19.6569309225777,41.5980528511822
2019-06-08,AK1,3.5,2.82400694444444,18.5186944444444,1.49409722222222,0.508763888888889,0.176833333333333,19.8865740740741,39.8125
2019-06-09,AK1,3.2,2.69732638888889,17.6650694444444,1.46197222222222,0.514375,0.177708333333333,19.9452160493827,43.0625
2019-05-27,AK1,2.0,0.376831004282532,4.74314565217202,0.775530868451761,0.527241066044311,0.42890618378448,20.4753776122491,27.4050279329609
2019-05-29,AK1,2.3,1.01634872588316,8.5941852886406,1.01612662942272,0.614217877094972,0.478337988826816,20.1311441553077,34.2797397769517
2019-05-30,AK1,3.9,2.55072829131653,16.674109141791,1.75024720149254,0.823540111940299,0.529179104477612,22.2222222222222,29.6031746031746
2019-06-13,AK1,3.7,4.85253472222222,26.3308888888889,1.75334722222222,0.532194444444444,0.179152777777778,23.9297839506173,34.7625
2019-06-14,AK1,4.8,7.30245833333333,40.8352152777778,2.71236805555556,0.8569375,0.287138888888889,23.5902777777778,33.3791666666667
2019-06-15,AK1,4.3,6.56588888888889,39.0169097222222,2.69733333333333,0.844909722222222,0.260638888888889,22.5763888888889,42.0583333333333
2019-06-16,AK1,2.9,3.99263194444444,25.3628680555556,1.75823611111111,0.542756944444444,0.173715277777778,24.5609567901235,36.3694444444444
2019-06-17,AK1,3.5,3.61703472222222,24.4587916666667,2.07766666666667,0.724381944444444,0.240472222222222,22.6851851851852,40.0902777777778
2019-06-19,AK1,3.2,2.62347916666667,14.9484791666667,1.08249305555556,0.378618055555556,0.136020833333333,25.241512345679,41.7375
2019-06-20,AK1,4.0,5.46972916666667,29.0139097222222,1.96033333333333,0.622791666666667,0.191152777777778,26.8549382716049,35.8722222222222
2019-06-21,AK1,4.5,6.59075694444444,35.3493125,2.41128472222222,0.796673611111111,0.259520833333333,27.9475308641975,32.5375
2019-06-22,AK1,7.5,13.4813888888889,80.8174027777778,5.32707638888889,1.52338888888889,0.455618055555556,24.787037037037,42.8430555555556
2019-06-23,AK1,16.2,33.5017361111111,237.079895833333,16.8474861111111,4.852625,1.3843125,20.9668209876543,61.8472222222222
2019-06-10,AK1,2.4,2.13855555555556,14.4027537668057,1.13850781370731,0.398454209163962,0.128966456111884,20.6033950617284,44.4222222222222
2019-06-11,AK1,2.0,1.20486805555556,10.2957222222222,0.867305555555556,0.307479166666667,0.103013888888889,21.4768518518519,41.1305555555556
2019-06-12,AK1,2.8,2.45717361111111,16.2224513888889,1.32671527777778,0.465993055555556,0.1675,22.1188271604938,35.2541666666667
2019-05-15,AK1,4.0,2.76017237467138,17.9198380036094,1.79088700405535,0.845295903187145,0.557270035501763,19.2725484104794,29.5391791044776
2019-03-23,AK4,6.6,6.31896759259259,31.136837962963,3.83164814814815,0.955888888888889,0.430680555555556,6.81430041152263,44.7601851851852
